UID	Base_Price	Sakhalin_OPT
e8a89aac-347d-11e4-82ab-000d88394cae	4461.48	3976.88
261e72a4-6af8-11e4-a4b1-000d88394cae	488.05	551.22
79d5fc79-81f3-11eb-b304-00ad24907f57	617.82	594.65
e8a89aae-347d-11e4-82ab-000d88394cae	5729.85	4893.20
7f15de12-c254-11e6-8fbd-000d88394cae	688.50	777.60
7f15de10-c254-11e6-8fbd-000d88394cae	3614.63	4082.40
e8a89ab0-347d-11e4-82ab-000d88394cae	6952.78	7852.54
6fca5aff-248c-11e7-afb5-000d88394cae	1108.08	1181.95
e8a89ab2-347d-11e4-82ab-000d88394cae	5346.00	5702.40
6fca5b02-248c-11e7-afb5-000d88394cae	1514.70	1615.68
e8a89ab4-347d-11e4-82ab-000d88394cae	7573.50	8372.16
6fca5b05-248c-11e7-afb5-000d88394cae	1440.22	1296.20
e8a89ab6-347d-11e4-82ab-000d88394cae	8464.50	9028.80
8da5b766-29b5-11e5-a58a-000d88394cae	7983.36	7683.98
c370ef0e-ed71-11ea-b1c2-000d88394cae	309.40	349.44
c370ef10-ed71-11ea-b1c2-000d88394cae	374.23	449.08
c370ef12-ed71-11ea-b1c2-000d88394cae	544.00	614.40
4a3daad4-8d19-11eb-b89a-00ad24907f57	618.80	698.88
c4028a62-8cfa-11e2-b580-000d88394cae	156.43	179.89
c934f262-2657-11df-8a83-001e8c61815f	173.24	199.23
1dc84b4c-c238-11ea-a382-000d88394cae	5492.96	6203.81
0086c11a-baa4-11e7-8214-000d88394cae	132.55	149.70
8f75ca68-babc-11e7-8214-000d88394cae	197.01	210.14
8f75ca6b-babc-11e7-8214-000d88394cae	286.81	305.94
8f75ca6e-babc-11e7-8214-000d88394cae	423.29	451.50
0086c120-baa4-11e7-8214-000d88394cae	52.84	52.22
8f75ca7d-babc-11e7-8214-000d88394cae	71.42	72.18
8f75ca80-babc-11e7-8214-000d88394cae	78.76	79.58
8f75ca83-babc-11e7-8214-000d88394cae	82.02	83.44
8f75ca86-babc-11e7-8214-000d88394cae	105.85	106.54
0086c11d-baa4-11e7-8214-000d88394cae	129.08	137.68
8f75ca71-babc-11e7-8214-000d88394cae	187.68	211.97
8f75ca74-babc-11e7-8214-000d88394cae	302.81	323.01
8f75ca77-babc-11e7-8214-000d88394cae	311.10	351.36
8f75ca7a-babc-11e7-8214-000d88394cae	440.86	497.92
cbfb20a7-4353-43e3-b332-c214d9e68098	521.10	469.00
d357e3c5-983b-11e3-b173-000d88394cae	536.43	482.78
3adcdb66-6e40-11e6-97c1-000d88394cae	21319.20	24517.08
f9b2608b-718d-11e7-b6a3-000d88394cae	28680.00	32982.00
67b0082b-59b0-11ea-b113-000d88394cae	8108.80	7297.92
0348e704-5705-11e8-b52b-000d88394cae	6709.10	7700.88
ef97d7a7-92aa-11eb-845b-00ad24907f57	0.00	8728.72
0348e701-5705-11e8-b52b-000d88394cae	9800.00	8820.00
67b0082e-59b0-11ea-b113-000d88394cae	19080.00	17172.00
0348e6fe-5705-11e8-b52b-000d88394cae	18705.05	19805.34
97ff9b7c-5495-11e7-9c6b-000d88394cae	27818.00	31417.98
79766149-59c1-11ea-b113-000d88394cae	32280.00	29052.00
0348e6fb-5705-11e8-b52b-000d88394cae	35123.75	39669.18
67b00831-59b0-11ea-b113-000d88394cae	23880.00	21492.00
67b00843-59b0-11ea-b113-000d88394cae	31080.00	27972.00
67b00855-59b0-11ea-b113-000d88394cae	38280.00	34452.00
67b0083a-59b0-11ea-b113-000d88394cae	40680.00	36612.00
7976614c-59c1-11ea-b113-000d88394cae	37080.00	33372.00
dc2f4737-9e6b-11de-aa95-0013024cf952	40743.54	46016.24
67b00834-59b0-11ea-b113-000d88394cae	26280.00	23652.00
67b00849-59b0-11ea-b113-000d88394cae	35880.00	32292.00
67b00858-59b0-11ea-b113-000d88394cae	43080.00	38772.00
67b0083d-59b0-11ea-b113-000d88394cae	45480.00	40932.00
7976614f-59c1-11ea-b113-000d88394cae	39480.00	35532.00
0348e6f8-5705-11e8-b52b-000d88394cae	39639.60	44769.42
67b00837-59b0-11ea-b113-000d88394cae	32280.00	29052.00
67b0084c-59b0-11ea-b113-000d88394cae	43080.00	38772.00
7976613d-59c1-11ea-b113-000d88394cae	50880.00	45792.00
67b00840-59b0-11ea-b113-000d88394cae	50280.00	45252.00
79766152-59c1-11ea-b113-000d88394cae	73992.00	66592.80
056d8e53-149f-11ea-b105-000d88394cae	76001.95	85837.50
67b0084f-59b0-11ea-b113-000d88394cae	68280.00	61452.00
79766140-59c1-11ea-b113-000d88394cae	77880.00	70092.00
79766155-59c1-11ea-b113-000d88394cae	99480.00	89532.00
79766143-59c1-11ea-b113-000d88394cae	89793.36	107752.03
67b00852-59b0-11ea-b113-000d88394cae	95880.00	86292.00
79766158-59c1-11ea-b113-000d88394cae	143880.00	129492.00
79766146-59c1-11ea-b113-000d88394cae	188622.38	199717.82
cc810c60-a17b-11ea-b113-000d88394cae	0.00	0.00
cb6261b0-d030-11e9-b193-000d88394cae	2242.32	2532.50
dde57eb6-95c7-11ec-a2f3-a4bf0174586a	0.00	0.00
6b3ced60-e26d-11ea-b12b-000d88394cae	7942.98	8970.90
be720103-07e9-11e5-9fc9-000d88394cae	9528.76	NULL
6b3ced63-e26d-11ea-b12b-000d88394cae	26020.46	29387.81
6517f293-dd8b-11e9-82a3-000d88394cae	3375.47	3931.42
0e530a99-22c4-11e9-89fa-000d88394cae	4280.78	4566.16
0d9e9329-2447-11e9-89fa-000d88394cae	6223.92	7249.04
cc0c3e5d-228a-11e9-89fa-000d88394cae	0.00	0.00
cc0c3e5f-228a-11e9-89fa-000d88394cae	0.00	0.00
cc0c3e61-228a-11e9-89fa-000d88394cae	0.00	0.00
cc0c3e65-228a-11e9-89fa-000d88394cae	0.00	0.00
0d9e935c-2447-11e9-89fa-000d88394cae	0.00	0.00
0d9e9347-2447-11e9-89fa-000d88394cae	0.00	0.00
0d9e934a-2447-11e9-89fa-000d88394cae	0.00	0.00
0d9e9350-2447-11e9-89fa-000d88394cae	0.00	0.00
0d9e9359-2447-11e9-89fa-000d88394cae	0.00	0.00
4b0ba5a5-db37-11e8-8506-000d88394cae	1048.00	1008.70
a62c0b62-42a4-11e4-82ab-000d88394cae	368.59	429.30
136da8a0-7d84-11df-8b5c-000a94026913	399.74	465.59
cf54e616-38f7-11de-a9e2-0013024cf952	302.74	363.29
a62c0b64-42a4-11e4-82ab-000d88394cae	431.27	502.32
a62c0b66-42a4-11e4-82ab-000d88394cae	447.52	537.02
46f98a6a-291d-11e5-a58a-000d88394cae	518.38	622.06
46f98a68-291d-11e5-a58a-000d88394cae	656.78	764.96
7541580b-75e3-11e4-bc0b-000d88394cae	662.35	748.06
46f98a66-291d-11e5-a58a-000d88394cae	846.18	955.68
de897ad5-d03d-11e8-9075-000d88394cae	0.00	0.00
de897ae4-d03d-11e8-9075-000d88394cae	0.00	0.00
de897ae6-d03d-11e8-9075-000d88394cae	0.00	0.00
de897ae8-d03d-11e8-9075-000d88394cae	0.00	0.00
de897aec-d03d-11e8-9075-000d88394cae	0.00	0.00
de897aee-d03d-11e8-9075-000d88394cae	0.00	0.00
080fd0f9-e44d-11de-ab01-0013024cf952	323.23	311.11
0d6ff588-373c-11e5-9c35-000d88394cae	323.23	311.11
4b58dbca-5cb1-11e9-9fa7-000d88394cae	1120.13	1078.13
a64e46d9-24fa-11e9-89fa-000d88394cae	0.00	0.00
0e530a9c-22c4-11e9-89fa-000d88394cae	0.00	0.00
0e530a9f-22c4-11e9-89fa-000d88394cae	0.00	0.00
0e530aa5-22c4-11e9-89fa-000d88394cae	0.00	0.00
0e530aa2-22c4-11e9-89fa-000d88394cae	0.00	0.00
0d9e932c-2447-11e9-89fa-000d88394cae	4989.82	5811.69
0d9e932f-2447-11e9-89fa-000d88394cae	8752.05	9335.52
0d9e9338-2447-11e9-89fa-000d88394cae	9976.90	10081.92
6517f296-dd8b-11e9-82a3-000d88394cae	10755.20	11472.21
0d9e934d-2447-11e9-89fa-000d88394cae	0.00	0.00
0d9e9353-2447-11e9-89fa-000d88394cae	36800.00	0.00
0d9e9356-2447-11e9-89fa-000d88394cae	0.00	0.00
7269872c-2c98-11e8-aa52-000d88394cae	4680.00	4954.95
72698733-2c98-11e8-aa52-000d88394cae	6552.00	6936.93
0d9e933e-2447-11e9-89fa-000d88394cae	18217.66	21218.21
0d9e9341-2447-11e9-89fa-000d88394cae	24718.36	28789.62
d973588c-7ae5-11eb-b304-00ad24907f57	0.00	0.00
1c8ee8d8-3e23-11e9-86aa-000d88394cae	3711.66	3563.20
1c8ee8cd-3e23-11e9-86aa-000d88394cae	3947.80	3789.89
1c8ee8de-3e23-11e9-86aa-000d88394cae	5497.89	5143.84
1c8ee8e0-3e23-11e9-86aa-000d88394cae	9388.30	6389.39
88795313-5ce8-11ea-b113-000d88394cae	14660.80	16558.08
88795316-5ce8-11ea-b113-000d88394cae	22382.20	25278.72
8879530c-5ce8-11ea-b113-000d88394cae	64180.10	72485.76
88795310-5ce8-11ea-b113-000d88394cae	253192.90	285959.04
9be410b5-6135-11df-9e6c-000a94026913	1547.16	1485.28
8879531a-5ce8-11ea-b113-000d88394cae	0.00	0.00
4c855f19-b80e-11e5-b9ce-000d88394cae	1874.76	1873.25
88795326-5ce8-11ea-b113-000d88394cae	0.00	0.00
3f4d3e26-bcff-11de-a84b-001d60ff4630	2231.68	2351.36
88795329-5ce8-11ea-b113-000d88394cae	0.00	0.00
b4c53ffe-fe4a-11dd-a52f-0013024cf952	3211.52	2867.97
8879532c-5ce8-11ea-b113-000d88394cae	0.00	0.00
